d,value
19500101,37.3
19500102,41.0
19500103,39.1
19500104,13.8
19500105,7.3
19500106,18.1
19500107,17.8
19500108,22.2
19500109,33.7
19500110,34.0
19500111,12.9
19500112,29.9
19500113,34.5
19500114,17.6
19500115,26.7
19500116,6.5
19500117,18.3
19500118,9.0
19500119,7.5
19500120,10.1
19500121,23.1
19500122,32.1
19500123,26.7
19500124,30.1
19500125,33.5
19500126,13.8
19500127,4.9
19500128,27.3
19500129,20.4
19500131,7.3
19500201,11.2
19500202,16.2
19500203,15.6
19500204,21.0
19500205,29.5
19500206,34.6
19500207,30.9
19500208,31.2
19500209,32.3
19500210,31.5
19500211,24.9
19500212,22.0
19500213,25.2
19500214,27.8
19500215,25.8
19500216,23.8
19500217,19.3
19500218,29.5
19500219,16.5
19500220,12.8
19500221,23.0
19500222,19.0
19500223,19.9
19500224,5.6
19500225,1.7
19500226,9.2
19500227,14.7
19500228,32.7
19500301,18.2
19500302,3.5
19500303,12.3
19500304,30.0
19500305,42.9
19500306,34.4
19500307,40.9
19500308,22.5
19500309,14.3
19500310,21.1
19500311,25.4
19500312,15.5
19500313,14.8
19500314,18.5
19500315,23.7
19500316,26.1
19500317,31.9
19500318,19.9
19500319,21.2
19500320,31.0
19500321,32.8
19500322,33.4
19500323,35.8
19500324,35.6
19500325,37.1
19500326,37.3
19500327,46.5
19500328,34.9
19500329,27.9
19500330,31.5
19500331,37.8
19500401,38.4
19500402,37.2
19500403,40.4
19500404,36.1
19500405,31.3
19500406,30.0
19500407,41.8
19500408,28.8
19500409,28.6
19500410,38.4
19500411,39.3
19500412,29.6
19500413,25.7
19500414,33.2
19500415,40.5
19500416,48.3
19500417,57.9
19500418,53.8
19500419,44.0
19500420,39.4
19500421,41.0
19500422,47.2
19500423,51.0
19500424,40.7
19500425,42.0
19500426,35.6
19500427,35.4
19500428,38.9
19500429,40.1
19500430,38.1
19500501,42.1
19500502,43.1
19500503,53.6
19500504,60.9
19500505,66.0
19500506,55.5
19500507,47.8
19500508,42.3
19500509,55.2
19500510,52.5
19500511,54.1
19500512,63.4
19500513,62.3
19500514,61.9
19500515,60.8
19500516,48.7
19500517,55.5
19500518,56.3
19500519,56.9
19500520,61.7
19500521,58.8
19500522,63.7
19500523,66.0
19500524,74.0
19500525,63.1
19500526,56.8
19500527,54.8
19500528,55.9
19500529,63.6
19500530,65.7
19500531,64.6
19500601,63.5
19500602,63.8
19500603,57.5
19500604,60.3
19500605,66.2
19500606,71.7
19500607,72.5
19500608,76.6
19500609,74.9
19500610,66.7
19500611,64.1
19500612,68.7
19500613,68.5
19500614,74.1
19500615,70.3
19500616,75.9
19500617,55.0
19500618,51.9
19500619,58.2
19500620,64.6
19500621,64.2
19500622,71.9
19500623,77.5
19500624,72.6
19500625,73.5
19500626,74.6
19500627,65.5
19500628,67.8
19500629,62.5
19500630,61.9
19500701,61.9
19500702,67.6
19500703,64.6
19500704,67.5
19500705,68.3
19500706,66.0
19500707,71.3
19500708,71.1
19500709,71.6
19500710,74.3
19500711,74.2
19500712,73.9
19500713,63.5
19500714,60.6
19500715,69.4
19500716,68.4
19500717,70.1
19500718,69.9
19500719,63.8
19500720,60.7
19500721,63.8
19500722,70.0
19500723,70.5
19500724,67.1
19500725,70.5
19500726,71.2
19500727,73.9
19500728,75.5
19500729,78.2
19500730,75.8
19500731,71.4
19500801,72.3
19500802,59.9
19500803,61.3
19500804,66.8
19500805,66.5
19500806,68.1
19500807,69.6
19500808,71.7
19500809,72.5
19500810,72.0
19500811,63.1
19500812,62.1
19500813,62.8
19500814,67.6
19500815,76.6
19500816,78.8
19500817,73.8
19500818,60.0
19500819,61.6
19500820,54.7
19500821,61.2
19500822,63.0
19500823,71.3
19500824,73.0
19500825,66.8
19500826,58.8
19500827,63.8
19500828,68.1
19500829,60.4
19500830,59.0
19500831,65.4
19500901,67.0
19500902,62.9
19500903,63.6
19500904,59.2
19500905,58.2
19500906,57.2
19500907,60.7
19500908,62.2
19500909,65.5
19500910,65.8
19500911,62.2
19500912,57.5
19500913,60.3
19500914,59.5
19500915,60.5
19500916,58.1
19500917,57.5
19500918,65.9
19500919,65.9
19500920,61.7
19500921,59.1
19500922,58.5
19500923,54.5
19500924,43.6
19500925,54.7
19500926,57.8
19500927,61.6
19500928,63.8
19500929,65.2
19500930,66.7
19501001,67.5
19501002,68.4
19501003,46.6
19501004,44.3
19501005,44.6
19501006,55.1
19501007,59.5
19501008,52.6
19501009,52.9
19501010,52.8
19501011,56.9
19501012,54.8
19501013,47.5
19501014,53.2
19501015,50.0
19501016,61.0
19501017,66.7
19501018,64.5
19501019,67.1
19501020,51.3
19501021,53.8
19501022,48.5
19501023,41.7
19501024,48.6
19501025,43.4
19501026,44.5
19501027,54.9
19501028,52.3
19501029,54.9
19501030,62.7
19501031,63.5
19501101,65.5
19501102,41.5
19501103,34.7
19501104,32.8
19501105,35.5
19501106,48.7
19501107,42.7
19501108,36.2
19501109,32.8
19501110,27.0
19501111,20.0
19501112,28.2
19501113,30.0
19501114,36.7
19501115,52.3
19501116,44.2
19501117,32.7
19501118,38.5
19501119,44.5
19501120,23.8
19501121,27.8
19501122,25.0
19501123,20.5
19501124,0.8
19501125,5.5
19501126,27.9
19501127,25.5
19501128,26.1
19501129,26.7
19501130,23.4
19501201,16.0
19501202,33.8
19501203,26.2
19501204,16.2
19501205,24.8
19501206,31.3
19501207,30.8
19501208,22.5
19501209,21.1
19501210,16.3
19501211,17.6
19501212,20.5
19501213,22.4
19501214,8.0
19501215,15.7
19501216,7.2
19501217,1.1
19501219,6.0
19501220,10.2
19501221,16.3
19501222,26.7
19501223,25.7
19501224,23.4
19501225,5.0
19501226,6.8
19501228,11.3
19501229,20.5
19501230,11.9
19501231,21.4
