,n,iter,dev,K,GAMMA,PROFIT,C_G,C_B
0,1,1,1.0,0.4999988777573126,0.011698575276310219,0.0008492857319414265,0.994150725488338,0.9941496032456506
1,2,1,1.0,0.6622008824395788,0.011190806190099697,0.0004908520305603774,0.9925894382785005,1.1547903207180794
2,2,2,0.08110100234113307,0.7118133581517775,0.011050729497124896,0.0004000262917568999,0.9921339431266218,1.2039473012783997
3,2,3,0.024806237856099367,0.7267334257504177,0.011009826668282308,0.000374470738104307,0.9919987909473041,1.218732216697722
4,2,4,0.007460033799320087,0.7311986260091232,0.010997691324159346,0.00036698270848264036,0.9919585032145042,1.223157129223627
5,2,5,0.0022326001293527797,0.73253291229267,0.010994074410926773,0.0003647593015615669,0.9919464786538016,1.2244793909464715
6,2,6,0.0006671431417734075,0.7329315337426199,0.010992994699943352,0.0003640964787074288,0.9919428875872719,1.2248744213298919
7,2,7,0.00019931072497492153,0.7330505912986477,0.010992672289482986,0.0003638985969540039,0.9919418151361009,1.2249924064347486
8,2,8,5.9528778013906436e-05,0.7330861471061804,0.010992575989433982,0.00036383949982255213,0.9919414948211339,1.2250276419273143
9,3,1,1.0,0.804815030386839,0.010804312195973002,0.0002542357918982772,0.991304527151675,1.2961195575385138
10,3,2,0.04781925552043903,0.8322400762547875,0.010735325630797769,0.00021743337911741615,0.9910656317784049,1.3233057080331923
11,3,3,0.018283363911965722,0.8426365808938572,0.010709583059114213,0.00020422500330799224,0.9909757135482409,1.333612294442098
12,3,4,0.006931003092713106,0.8465651878551687,0.010699912901139513,0.00019934042067562807,0.9909418262248129,1.3375070140799816
13,3,5,0.002619071307541021,0.8480479390597802,0.010696271267627382,0.00019751206921985457,0.9909290491958642,1.3389769882556444
14,3,6,0.0009885008030743325,0.8486073161877731,0.01069489862302959,0.0001968244921012372,0.9909242308809981,1.339531547068771
15,3,7,0.0003729180853285774,0.8488183079664686,0.010694381030680671,0.000196565449641297,0.9909224137011726,1.3397407216676411
16,3,8,0.0001406611857970308,0.8488978717947004,0.010694185834490675,0.00019646778056471814,0.9909217284045239,1.3398196001992242
17,3,9,5.304255215454745e-05,0.8489278496003316,0.010694112306266334,0.00019643096115580413,0.9909214702367406,1.339849319837072
18,4,1,1.0,0.8886147032010061,0.010598326929323505,0.00015072981161654624,0.9905821708612721,1.379196874062278
19,4,2,0.029765140200505802,0.9051077567160736,0.010559411125469619,0.00013350163543592597,0.9904425950831233,1.3955503517991967
20,4,3,0.012369790136300685,0.9119283502726004,0.010543466033611178,0.00012668059156033837,0.9903851144138137,1.4023134646864142
21,4,4,0.0051154451673951495,0.9147431417126025,0.01053691063154726,0.00012391729806740363,0.9903614332649535,1.405104574977556
22,4,5,0.0021110935800014996,0.9159039768270666,0.010534211377411921,0.00012278667975354534,0.9903516739066915,1.4062556507337582
23,4,6,0.0008706263358481126,0.9163825418749578,0.010533099324237325,0.00012232207048183132,0.9903476517378152,1.4067301936127734
24,4,7,0.0003589237859183969,0.9165797927447096,0.010532641084079945,0.0001221308115511535,0.9903459941004391,1.4069257868451488
25,4,8,0.00014793815231384233,0.9166610843864846,0.01053245222615031,0.00012205202168845801,0.9903453109211282,1.4070063953076128
26,4,9,6.096873133121239e-05,0.9166945426064391,0.010532374509722048,0.00012201956114882837,0.9903450297665958,1.407039572373035
27,5,1,1.0,0.9417647474546497,0.01047470957240833,9.893380109363362e-05,0.9901352877848801,1.4319000352395297
28,5,2,0.020056163878568456,0.9526486413480602,0.010450022398690794,8.966104216740284e-05,0.990044800359781,1.4426934417078412
29,5,3,0.008707115114728436,0.9573588710673332,0.010439402482416187,8.578892220714816e-05,0.9900057454248166,1.4473646164921474
30,5,4,0.003768183775418432,0.9593945561880554,0.01043482458905183,8.414180148345238e-05,0.9899888860944864,1.4493834422825418
31,5,5,0.0016285480965777532,0.9602738459650658,0.010432849500444256,8.343529101571244e-05,0.9899816077195254,1.450255453684591
32,5,6,0.000703431821608369,0.9606535459347384,0.010431996999712196,8.313111331948921e-05,0.989978465368305,1.4506320113030433
33,5,7,0.00030375997573806046,0.9608174920756682,0.010431628981847105,8.299994629381179e-05,0.989977108688781,1.4507946007644494
34,5,8,0.0001311569127437906,0.960888238135931,0.010431470101077112,8.294332889428153e-05,0.9899765230734083,1.4508647612093395
35,5,9,5.659684821024413e-05,0.9609187629647487,0.010431401588945769,8.291891100588237e-05,0.9899762704894446,1.450895033454193
