d,value
19500101,1.0
19500102,2.0
19500103,3.0
19500104,4.0
19500105,5.0
19500106,6.0
19500107,7.0
19500108,8.0
19500109,9.0
19500110,10.0
19500111,11.0
19500112,12.0
19500113,13.0
19500114,14.0
19500115,15.0
19500116,16.0
19500117,17.0
19500118,18.0
19500119,19.0
19500120,20.0
19500121,21.0
19500122,22.0
19500123,23.0
19500124,24.0
19500125,25.0
19500126,26.0
19500127,27.0
19500128,28.0
19500129,29.0
19500131,31.0
19500201,32.0
19500202,33.0
19500203,34.0
19500204,35.0
19500205,36.0
19500206,37.0
19500207,38.0
19500208,39.0
19500209,40.0
19500210,41.0
19500211,42.0
19500212,43.0
19500213,44.0
19500214,45.0
19500215,46.0
19500216,47.0
19500217,48.0
19500218,49.0
19500219,50.0
19500220,51.0
19500221,52.0
19500222,53.0
19500223,54.0
19500224,55.0
19500225,56.0
19500226,57.0
19500227,58.0
19500228,59.0
19500301,60.0
19500302,61.0
19500303,62.0
19500304,63.0
19500305,64.0
19500306,65.0
19500307,66.0
19500308,67.0
19500309,68.0
19500310,69.0
19500311,70.0
19500312,71.0
19500313,72.0
19500314,73.0
19500315,74.0
19500316,75.0
19500317,76.0
19500318,77.0
19500319,78.0
19500320,79.0
19500321,80.0
19500322,81.0
19500323,82.0
19500324,83.0
19500325,84.0
19500326,85.0
19500327,86.0
19500328,87.0
19500329,88.0
19500330,89.0
19500331,90.0
19500401,91.0
19500402,92.0
19500403,93.0
19500404,94.0
19500405,95.0
19500406,96.0
19500407,97.0
19500408,98.0
19500409,99.0
19500410,100.0
19500411,101.0
19500412,102.0
19500413,103.0
19500414,104.0
19500415,105.0
19500416,106.0
19500417,107.0
19500418,108.0
19500419,109.0
19500420,110.0
19500421,111.0
19500422,112.0
19500423,113.0
19500424,114.0
19500425,115.0
19500426,116.0
19500427,117.0
19500428,118.0
19500429,119.0
19500430,120.0
19500501,121.0
19500502,122.0
19500503,123.0
19500504,124.0
19500505,125.0
19500506,126.0
19500507,127.0
19500508,128.0
19500509,129.0
19500510,130.0
19500511,131.0
19500512,132.0
19500513,133.0
19500514,134.0
19500515,135.0
19500516,136.0
19500517,137.0
19500518,138.0
19500519,139.0
19500520,140.0
19500521,141.0
19500522,142.0
19500523,143.0
19500524,144.0
19500525,145.0
19500526,146.0
19500527,147.0
19500528,148.0
19500529,149.0
19500530,150.0
19500531,151.0
19500601,152.0
19500602,153.0
19500603,154.0
19500604,155.0
19500605,156.0
19500606,157.0
19500607,158.0
19500608,159.0
19500609,160.0
19500610,161.0
19500611,162.0
19500612,163.0
19500613,164.0
19500614,165.0
19500615,166.0
19500616,167.0
19500617,168.0
19500618,169.0
19500619,170.0
19500620,171.0
19500621,172.0
19500622,173.0
19500623,174.0
19500624,175.0
19500625,176.0
19500626,177.0
19500627,178.0
19500628,179.0
19500629,180.0
