yr_0,m_1,dm_2,value
1939,10,10,10.0
1939,10,11,11.0
1939,10,12,12.0
1939,10,13,13.0
1939,10,14,14.0
1939,10,15,15.0
1939,10,16,16.0
1939,10,17,17.0
1939,10,18,18.0
1939,10,19,19.0
1939,10,20,20.0
1939,10,21,21.0
1939,10,22,22.0
1939,10,23,23.0
1939,10,24,24.0
1939,10,25,25.0
1939,10,26,26.0
1939,10,27,27.0
1939,10,28,28.0
1939,10,29,29.0
1939,10,30,30.0
1939,10,31,31.0
1939,10,01,1.0
1939,10,02,2.0
1939,10,03,3.0
1939,10,04,4.0
1939,10,05,5.0
1939,10,06,6.0
1939,10,07,7.0
1939,10,08,8.0
1939,10,09,9.0
1939,11,10,41.0
1939,11,11,42.0
1939,11,12,43.0
1939,11,13,44.0
1939,11,14,45.0
1939,11,15,46.0
1939,11,16,47.0
1939,11,17,48.0
1939,11,18,49.0
1939,11,19,50.0
1939,11,20,51.0
1939,11,21,52.0
1939,11,22,53.0
1939,11,23,54.0
1939,11,24,55.0
1939,11,25,56.0
1939,11,26,57.0
1939,11,27,58.0
1939,11,28,59.0
1939,11,29,60.0
1939,11,30,61.0
1939,11,01,32.0
1939,11,02,33.0
1939,11,03,34.0
1939,11,04,35.0
1939,11,05,36.0
1939,11,06,37.0
1939,11,07,38.0
1939,11,08,39.0
1939,11,09,40.0
1939,12,10,71.0
1939,12,11,72.0
1939,12,12,73.0
1939,12,13,74.0
1939,12,14,75.0
1939,12,15,76.0
1939,12,16,77.0
1939,12,17,78.0
1939,12,18,79.0
1939,12,19,80.0
1939,12,20,81.0
1939,12,21,82.0
1939,12,22,83.0
1939,12,23,84.0
1939,12,24,85.0
1939,12,25,86.0
1939,12,26,87.0
1939,12,28,89.0
1939,12,29,90.0
1939,12,30,91.0
1939,12,31,92.0
1939,12,01,62.0
1939,12,02,63.0
1939,12,04,65.0
1939,12,05,66.0
1939,12,06,67.0
1939,12,07,68.0
1939,12,08,69.0
1939,12,09,70.0
1940,10,10,376.0
1940,10,11,377.0
1940,10,12,378.0
1940,10,13,379.0
1940,10,14,380.0
1940,10,15,381.0
1940,10,16,382.0
1940,10,17,383.0
1940,10,18,384.0
1940,10,19,385.0
1940,10,20,386.0
1940,10,21,387.0
1940,10,22,388.0
1940,10,23,389.0
1940,10,24,390.0
1940,10,25,391.0
1940,10,26,392.0
1940,10,27,393.0
1940,10,28,394.0
1940,10,29,395.0
1940,10,30,396.0
1940,10,31,397.0
1940,10,01,367.0
1940,10,02,368.0
1940,10,03,369.0
1940,10,04,370.0
1940,10,05,371.0
1940,10,06,372.0
1940,10,07,373.0
1940,10,08,374.0
1940,10,09,375.0
1940,11,10,407.0
1940,11,11,408.0
1940,11,12,409.0
1940,11,13,410.0
1940,11,14,411.0
1940,11,15,412.0
1940,11,16,413.0
1940,11,17,414.0
1940,11,18,415.0
1940,11,19,416.0
1940,11,20,417.0
1940,11,21,418.0
1940,11,22,419.0
1940,11,23,420.0
1940,11,24,421.0
1940,11,25,422.0
1940,11,27,424.0
1940,11,28,425.0
1940,11,29,426.0
1940,11,30,427.0
1940,11,01,398.0
1940,11,02,399.0
1940,11,03,400.0
1940,11,04,401.0
1940,11,05,402.0
1940,11,06,403.0
1940,11,07,404.0
1940,11,08,405.0
1940,11,09,406.0
1940,12,10,437.0
1940,12,11,438.0
1940,12,12,439.0
1940,12,13,440.0
1940,12,14,441.0
1940,12,15,442.0
1940,12,16,443.0
1940,12,17,444.0
1940,12,18,445.0
1940,12,19,446.0
1940,12,20,447.0
1940,12,21,448.0
1940,12,22,449.0
1940,12,23,450.0
1940,12,24,451.0
1940,12,25,452.0
1940,12,26,453.0
1940,12,27,454.0
1940,12,28,455.0
1940,12,29,456.0
1940,12,30,457.0
1940,12,31,458.0
1940,12,01,428.0
1940,12,02,429.0
1940,12,03,430.0
1940,12,04,431.0
1940,12,05,432.0
1940,12,06,433.0
1940,12,07,434.0
1940,12,08,435.0
1940,12,09,436.0
1940,01,10,102.0
1940,01,11,103.0
1940,01,12,104.0
1940,01,15,107.0
1940,01,16,108.0
1940,01,17,109.0
1940,01,18,110.0
1940,01,19,111.0
1940,01,20,112.0
1940,01,21,113.0
1940,01,22,114.0
1940,01,23,115.0
1940,01,24,116.0
1940,01,25,117.0
1940,01,26,118.0
1940,01,27,119.0
1940,01,28,120.0
1940,01,29,121.0
1940,01,30,122.0
1940,01,31,123.0
1940,01,01,93.0
1940,01,02,94.0
1940,01,03,95.0
1940,01,04,96.0
1940,01,05,97.0
1940,01,06,98.0
1940,01,07,99.0
1940,01,08,100.0
1940,01,09,101.0
1940,02,10,133.0
1940,02,11,134.0
1940,02,12,135.0
1940,02,13,136.0
1940,02,14,137.0
1940,02,15,138.0
1940,02,16,139.0
1940,02,17,140.0
1940,02,18,141.0
1940,02,19,142.0
1940,02,20,143.0
1940,02,21,144.0
1940,02,22,145.0
1940,02,23,146.0
1940,02,24,147.0
1940,02,25,148.0
1940,02,26,149.0
1940,02,27,150.0
