yr_0,m_1,dm_2,value
1939,10,10,194.0
1939,10,11,172.0
1939,10,12,117.0
1939,10,13,67.0
1939,10,14,83.0
1939,10,15,156.0
1939,10,16,111.0
1939,10,17,94.0
1939,10,18,217.0
1939,10,19,189.0
1939,10,20,222.0
1939,10,21,189.0
1939,10,22,128.0
1939,10,23,72.0
1939,10,24,111.0
1939,10,25,183.0
1939,10,26,233.0
1939,10,27,178.0
1939,10,28,44.0
1939,10,29,61.0
1939,10,30,50.0
1939,10,31,89.0
1939,10,01,194.0
1939,10,02,211.0
1939,10,03,233.0
1939,10,04,272.0
1939,10,05,211.0
1939,10,06,250.0
1939,10,07,294.0
1939,10,08,261.0
1939,10,09,239.0
1939,11,10,106.0
1939,11,11,78.0
1939,11,12,72.0
1939,11,13,128.0
1939,11,14,139.0
1939,11,15,172.0
1939,11,16,200.0
1939,11,17,178.0
1939,11,18,111.0
1939,11,19,78.0
1939,11,20,22.0
1939,11,21,28.0
1939,11,22,61.0
1939,11,23,44.0
1939,11,24,50.0
1939,11,25,50.0
1939,11,26,56.0
1939,11,27,78.0
1939,11,28,72.0
1939,11,29,72.0
1939,11,30,56.0
1939,11,01,44.0
1939,11,02,44.0
1939,11,03,67.0
1939,11,04,89.0
1939,11,05,78.0
1939,11,06,117.0
1939,11,07,94.0
1939,11,08,61.0
1939,11,09,150.0
1939,12,10,83.0
1939,12,11,44.0
1939,12,12,89.0
1939,12,13,-11.0
1939,12,14,11.0
1939,12,15,89.0
1939,12,16,100.0
1939,12,17,111.0
1939,12,18,100.0
1939,12,19,67.0
1939,12,20,-6.0
1939,12,21,-11.0
1939,12,22,44.0
1939,12,23,33.0
1939,12,24,22.0
1939,12,25,39.0
1939,12,26,-17.0
1939,12,28,-11.0
1939,12,29,-28.0
1939,12,30,-50.0
1939,12,31,-100.0
1939,12,01,67.0
1939,12,02,67.0
1939,12,04,6.0
1939,12,05,56.0
1939,12,06,106.0
1939,12,07,100.0
1939,12,08,100.0
1939,12,09,122.0
1940,10,10,211.0
1940,10,11,211.0
1940,10,12,256.0
1940,10,13,206.0
1940,10,14,111.0
1940,10,15,106.0
1940,10,16,144.0
1940,10,17,139.0
1940,10,18,117.0
1940,10,19,150.0
1940,10,20,144.0
1940,10,21,139.0
1940,10,22,217.0
1940,10,23,189.0
1940,10,24,161.0
1940,10,25,172.0
1940,10,26,133.0
1940,10,27,228.0
1940,10,28,117.0
1940,10,29,150.0
1940,10,30,172.0
1940,10,31,183.0
1940,10,01,228.0
1940,10,02,256.0
1940,10,03,239.0
1940,10,04,228.0
1940,10,05,261.0
1940,10,06,161.0
1940,10,07,167.0
1940,10,08,167.0
1940,10,09,189.0
1940,11,10,83.0
1940,11,11,128.0
1940,11,12,-78.0
1940,11,13,-56.0
1940,11,14,-39.0
1940,11,15,-33.0
1940,11,16,50.0
1940,11,17,89.0
1940,11,18,83.0
1940,11,19,117.0
1940,11,20,61.0
1940,11,21,133.0
1940,11,22,33.0
1940,11,23,61.0
1940,11,24,56.0
1940,11,25,28.0
1940,11,27,-33.0
1940,11,28,-17.0
1940,11,29,-22.0
1940,11,30,-33.0
1940,11,01,111.0
1940,11,02,144.0
1940,11,03,178.0
1940,11,04,150.0
1940,11,05,150.0
1940,11,06,72.0
1940,11,07,78.0
1940,11,08,78.0
1940,11,09,72.0
1940,12,10,6.0
1940,12,11,-33.0
1940,12,12,-33.0
1940,12,13,-72.0
1940,12,14,-83.0
1940,12,15,6.0
1940,12,16,6.0
1940,12,17,-11.0
1940,12,18,11.0
1940,12,19,17.0
1940,12,20,17.0
1940,12,21,39.0
1940,12,22,61.0
